gene id Process
A2M hsa04610 Complement_and_coagulation_cascades
NAT1 hsa01100 Metabolic_pathways
NAT1 hsa00983 Drug_metabolism
NAT1 hsa00232 Caffeine_metabolism
NAT1 hsa05204 Chemical_carcinogenesis
NAT2 hsa05204 Chemical_carcinogenesis
NAT2 hsa01100 Metabolic_pathways
NAT2 hsa00232 Caffeine_metabolism
NAT2 hsa00983 Drug_metabolism
AANAT hsa00380 Tryptophan_metabolism
AANAT hsa01100 Metabolic_pathways
AARS hsa00970 Aminoacyl-tRNA_biosynthesis
ABAT hsa00410 beta-Alanine_metabolism
ABAT hsa04727 GABAergic_synapse
ABAT hsa00650 Butanoate_metabolism
ABAT hsa01100 Metabolic_pathways
ABAT hsa00250 Alanine,_aspartate_and_glutamate_metabolism
ABAT hsa00640 Propanoate_metabolism
ABAT hsa00280 Valine,_leucine_and_isoleucine_degradation
ABCA1 hsa02010 ABC_transporters
ABCA1 hsa04975 Fat_digestion_and_absorption
ABCA2 hsa04142 Lysosome
ABCA2 hsa02010 ABC_transporters
ABCA3 hsa02010 ABC_transporters
ABCB7 hsa02010 ABC_transporters
ABCA4 hsa02010 ABC_transporters
ABL1 hsa05206 MicroRNAs_in_cancer
ABL1 hsa05131 Shigellosis
ABL1 hsa04110 Cell_cycle
ABL1 hsa05130 Pathogenic_Escherichia_coli_infection
ABL1 hsa04012 ErbB_signaling_pathway
ABL1 hsa05200 Pathways_in_cancer
ABL1 hsa04014 Ras_signaling_pathway
ABL1 hsa05220 Chronic_myeloid_leukemia
ABL1 hsa05416 Viral_myocarditis
ABL1 hsa04722 Neurotrophin_signaling_pathway
ABL1 hsa04360 Axon_guidance
DAO hsa00330 Arginine_and_proline_metabolism
DAO hsa00380 Tryptophan_metabolism
DAO hsa00340 Histidine_metabolism
DAO hsa01100 Metabolic_pathways
AOC1 hsa00330 Arginine_and_proline_metabolism
AOC1 hsa00380 Tryptophan_metabolism
AOC1 hsa00340 Histidine_metabolism
AOC1 hsa01100 Metabolic_pathways
ABL2 hsa05416 Viral_myocarditis
ABL2 hsa04012 ErbB_signaling_pathway
ABL2 hsa04014 Ras_signaling_pathway
ABO hsa00601 Glycosphingolipid_biosynthesis
ABO hsa01100 Metabolic_pathways
ACAA1 hsa01212 Fatty_acid_metabolism
ACAA1 hsa00592 alpha-Linolenic_acid_metabolism
ACAA1 hsa00071 Fatty_acid_degradation
ACAA1 hsa01040 Biosynthesis_of_unsaturated_fatty_acids
ACAA1 hsa03320 PPAR_signaling_pathway
ACAA1 hsa01100 Metabolic_pathways
ACAA1 hsa04146 Peroxisome
ACAA1 hsa00280 Valine,_leucine_and_isoleucine_degradation
ACACA hsa04910 Insulin_signaling_pathway
ACACA hsa00640 Propanoate_metabolism
ACACA hsa01212 Fatty_acid_metabolism
ACACA hsa01100 Metabolic_pathways
ACACA hsa00061 Fatty_acid_biosynthesis
ACACA hsa04152 AMPK_signaling_pathway
ACACA hsa04922 Glucagon_signaling_pathway
ACACA hsa00620 Pyruvate_metabolism
ACACB hsa04910 Insulin_signaling_pathway
ACACB hsa00640 Propanoate_metabolism
ACACB hsa04931 Insulin_resistance
ACACB hsa04920 Adipocytokine_signaling_pathway
ACACB hsa04922 Glucagon_signaling_pathway
ACACB hsa04152 AMPK_signaling_pathway
ACACB hsa01100 Metabolic_pathways
ACACB hsa00061 Fatty_acid_biosynthesis
ACACB hsa00620 Pyruvate_metabolism
ACADL hsa01212 Fatty_acid_metabolism
ACADL hsa03320 PPAR_signaling_pathway
ACADL hsa01100 Metabolic_pathways
ACADL hsa00071 Fatty_acid_degradation
ACADM hsa00071 Fatty_acid_degradation
ACADM hsa01212 Fatty_acid_metabolism
ACADM hsa00280 Valine,_leucine_and_isoleucine_degradation
ACADM hsa03320 PPAR_signaling_pathway
ACADM hsa01100 Metabolic_pathways
ACADM hsa01200 Carbon_metabolism
ACADM hsa00410 beta-Alanine_metabolism
ACADM hsa00640 Propanoate_metabolism
ACADS hsa01200 Carbon_metabolism
ACADS hsa00280 Valine,_leucine_and_isoleucine_degradation
ACADS hsa00650 Butanoate_metabolism
ACADS hsa00071 Fatty_acid_degradation
ACADS hsa01212 Fatty_acid_metabolism
ACADS hsa01100 Metabolic_pathways
ACADSB hsa00280 Valine,_leucine_and_isoleucine_degradation
ACADSB hsa01100 Metabolic_pathways
ACADSB hsa01212 Fatty_acid_metabolism
ACADSB hsa00071 Fatty_acid_degradation
ACADVL hsa01100 Metabolic_pathways
ACADVL hsa01212 Fatty_acid_metabolism
