ENSG00000278198	ENST00000611619	ENSP00000482855
ENSG00000198888	ENST00000361390	ENSP00000354687
ENSG00000198763	ENST00000361453	ENSP00000355046
ENSG00000198804	ENST00000361624	ENSP00000354499
ENSG00000198712	ENST00000361739	ENSP00000354876
ENSG00000228253	ENST00000361851	ENSP00000355265
ENSG00000198899	ENST00000361899	ENSP00000354632
ENSG00000198938	ENST00000362079	ENSP00000354982
ENSG00000198840	ENST00000361227	ENSP00000355206
ENSG00000212907	ENST00000361335	ENSP00000354728
ENSG00000198886	ENST00000361381	ENSP00000354961
ENSG00000198786	ENST00000361567	ENSP00000354813
ENSG00000198695	ENST00000361681	ENSP00000354665
ENSG00000198727	ENST00000361789	ENSP00000354554
ENSG00000278633	ENST00000619792	ENSP00000484693
ENSG00000142530	ENST00000595790	ENSP00000471272
ENSG00000086967	ENST00000357701	ENSP00000350332
ENSG00000142552	ENST00000270645	ENSP00000270645
ENSG00000112379	ENST00000251691	ENSP00000251691
ENSG00000103642	ENST00000261893	ENSP00000261893
ENSG00000170855	ENST00000546954	ENSP00000449795
ENSG00000127412	ENST00000265310	ENSP00000265310
ENSG00000184022	ENST00000330500	ENSP00000329210
ENSG00000171180	ENST00000306687	ENSP00000306688
ENSG00000105732	ENST00000600245	ENSP00000469029
ENSG00000137955	ENST00000319942	ENSP00000317473
ENSG00000143224	ENST00000367999	ENSP00000356978
ENSG00000134285	ENST00000550765	ENSP00000449751
ENSG00000165259	ENST00000297977	ENSP00000297977
ENSG00000172602	ENST00000309739	ENSP00000308461
ENSG00000163352	ENST00000392487	ENSP00000376278
ENSG00000196074	ENST00000357552	ENSP00000350162
ENSG00000204983	ENST00000311737	ENSP00000308720
ENSG00000167535	ENST00000301050	ENSP00000301050
ENSG00000203667	ENST00000411948	ENSP00000406327
ENSG00000173627	ENST00000308641	ENSP00000310622
ENSG00000198756	ENST00000361927	ENSP00000354960
ENSG00000113296	ENST00000350881	ENSP00000339730
ENSG00000168813	ENST00000311921	ENSP00000312277
ENSG00000159214	ENST00000372318	ENSP00000361392
ENSG00000185437	ENST00000333634	ENSP00000332513
ENSG00000231500	ENST00000439602	ENSP00000393241
ENSG00000198860	ENST00000361641	ENSP00000355299
ENSG00000150433	ENST00000531909	ENSP00000436596
ENSG00000182093	ENST00000333781	ENSP00000327716
ENSG00000157379	ENST00000288111	ENSP00000288111
ENSG00000108576	ENST00000261707	ENSP00000261707
ENSG00000223501	ENST00000445902	ENSP00000409952
ENSG00000116791	ENST00000417775	ENSP00000399805
ENSG00000139990	ENST00000341516	ENSP00000341351
ENSG00000160691	ENST00000448116	ENSP00000401303
ENSG00000116667	ENST00000235307	ENSP00000235307
ENSG00000178904	ENST00000342179	ENSP00000344937
ENSG00000170264	ENST00000404929	ENSP00000385158
ENSG00000116406	ENST00000318130	ENSP00000318147
ENSG00000165105	ENST00000376447	ENSP00000365630
ENSG00000179914	ENST00000326245	ENSP00000323587
ENSG00000162623	ENST00000370867	ENSP00000359904
ENSG00000000938	ENST00000374005	ENSP00000363117
ENSG00000135842	ENST00000367511	ENSP00000356481
ENSG00000119403	ENST00000616568	ENSP00000483946
ENSG00000129351	ENST00000449870	ENSP00000404121
ENSG00000158764	ENST00000368029	ENSP00000357008
ENSG00000121481	ENST00000367510	ENSP00000356480
ENSG00000162624	ENST00000294638	ENSP00000294638
ENSG00000074219	ENST00000598810	ENSP00000472109
ENSG00000100626	ENST00000337827	ENSP00000336729
ENSG00000121486	ENST00000367506	ENSP00000356476
ENSG00000215845	ENST00000423014	ENSP00000388293
ENSG00000103194	ENST00000570191	ENSP00000457411
ENSG00000158769	ENST00000368026	ENSP00000357005
ENSG00000135914	ENST00000258400	ENSP00000258400
ENSG00000116668	ENST00000367500	ENSP00000356470
ENSG00000164440	ENST00000358430	ENSP00000351206
ENSG00000161671	ENST00000334976	ENSP00000334037
ENSG00000173171	ENST00000368376	ENSP00000357360
ENSG00000257411	ENST00000548861	ENSP00000449770
ENSG00000170515	ENST00000303305	ENSP00000302886
ENSG00000164032	ENST00000296417	ENSP00000296417
ENSG00000070214	ENST00000374720	ENSP00000363852
