Approved symbol	Ensembl gene ID
FUT7 ENSG00000180549
MFNG ENSG00000100060
A1CF	ENSG00000148584
A2M	ENSG00000175899
A2M-AS1	ENSG00000245105
A2ML1	ENSG00000166535
A2ML1-AS1	ENSG00000256661
A2MP1	ENSG00000256069
A3GALT2	ENSG00000184389
A4GALT	ENSG00000128274
A4GNT	ENSG00000118017
AAAS	ENSG00000094914
AACS	ENSG00000081760
AACSP1	ENSG00000250420
AADAC	ENSG00000114771
AADACL2	ENSG00000197953
AADACL2-AS1	ENSG00000242908
AADACL3	ENSG00000188984
AADACL4	ENSG00000204518
AADACP1	ENSG00000240602
AADAT	ENSG00000109576
AAGAB	ENSG00000103591
AAK1	ENSG00000115977
AAMDC	ENSG00000087884
AAMP	ENSG00000127837
AANAT	ENSG00000129673
AAR2	ENSG00000131043
AARD	ENSG00000205002
AARS	ENSG00000090861
AARS2	ENSG00000124608
AARSD1	ENSG00000266967
AASDH	ENSG00000157426
AASDHPPT	ENSG00000149313
AASS	ENSG00000008311
AATBC	ENSG00000215458
AATF	ENSG00000275700
ABAT	ENSG00000183044
ABCA1	ENSG00000165029
ABCA3	ENSG00000167972
ABCA4	ENSG00000198691
ABCA5	ENSG00000154265
ABCA6	ENSG00000154262
ABCA8	ENSG00000141338
ABCA9	ENSG00000154258
ABCA9-AS1	ENSG00000231749
ABCA10	ENSG00000154263
ABCA11P	ENSG00000251595
ABCA12	ENSG00000144452
ABCA13	ENSG00000179869
ABCA17P	ENSG00000238098
ABCB1	ENSG00000085563
ABCB4	ENSG00000005471
ABCB5	ENSG00000004846
ABCB6	ENSG00000115657
ABCB9	ENSG00000150967
ABCB10	ENSG00000135776
ABCB11	ENSG00000073734
ABCC1	ENSG00000103222
ABCC2	ENSG00000023839
ABCC3	ENSG00000108846
ABCC4	ENSG00000125257
ABCC5	ENSG00000114770
ABCC5-AS1	ENSG00000223882
ABCC6	ENSG00000091262
ABCC8	ENSG00000006071
ABCC9	ENSG00000069431
ABCC10	ENSG00000124574
ABCC11	ENSG00000121270
ABCC12	ENSG00000140798
ABCC13	ENSG00000243064
ABCD2	ENSG00000173208
ABCD3	ENSG00000117528
ABCD4	ENSG00000119688
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABCF2	ENSG00000033050
ABCF2P2	ENSG00000228769
ABCF3	ENSG00000161204
ABCG1	ENSG00000160179
ABCG2	ENSG00000118777
ABCG4	ENSG00000172350
ABCG5	ENSG00000138075
ABCG8	ENSG00000143921
ABHD1	ENSG00000143994
ABHD2	ENSG00000140526
ABHD3	ENSG00000158201
ABHD4	ENSG00000100439
ABHD5	ENSG00000011198
ABHD6	ENSG00000163686
ABHD8	ENSG00000127220
ABHD10	ENSG00000144827
ABHD12	ENSG00000100997
ABHD12B	ENSG00000131969
ABHD13	ENSG00000139826
ABHD15	ENSG00000168792
ABHD15-AS1	ENSG00000264031
ABHD16A	ENSG00000204427
ABHD17B	ENSG00000107362
ABHD17C	ENSG00000136379
ABHD18	ENSG00000164074
ABI1	ENSG00000136754
ABI2	ENSG00000138443
ABI3	ENSG00000108798
ABI3BP	ENSG00000154175
ABITRAM	ENSG00000119328
ABITRAMP1	ENSG00000251106
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABLIM1	ENSG00000099204
ABLIM2	ENSG00000163995
ABLIM3	ENSG00000173210
ABO	ENSG00000175164
ABR	ENSG00000159842
ABRA	ENSG00000174429
ABRACL	ENSG00000146386
ABRAXAS1	ENSG00000163322
ABRAXAS2	ENSG00000165660
ABT1	ENSG00000146109
ABT1P1	ENSG00000250496
ABTB1	ENSG00000114626
ABTB2	ENSG00000166016
ACAA1	ENSG00000060971
ACAA2	ENSG00000167315
ACACA	ENSG00000278540
ACACB	ENSG00000076555
ACAD8	ENSG00000151498
ACAD9	ENSG00000177646
ACAD10	ENSG00000111271
ACAD11	ENSG00000240303
ACADL	ENSG00000115361
ACADM	ENSG00000117054
ACADS	ENSG00000122971
ACADSB	ENSG00000196177
ACAN	ENSG00000157766
ACAP1	ENSG00000072818
ACAP2	ENSG00000114331
ACAP2-IT1	ENSG00000229325
ACAT1	ENSG00000075239
ACAT2	ENSG00000120437
ACBD3	ENSG00000182827
ACBD3-AS1	ENSG00000234478
ACBD4	ENSG00000181513
ACBD5	ENSG00000107897
ACBD6	ENSG00000230124
ACCS	ENSG00000110455
ACCSL	ENSG00000205126
ACD	ENSG00000102977
ACE3P	ENSG00000224353
ACER1	ENSG00000167769
ACER2	ENSG00000177076
ACER3	ENSG00000078124
ACHE	ENSG00000087085
ACIN1	ENSG00000100813
ACKR1	ENSG00000213088
ACKR2	ENSG00000144648
ACKR3	ENSG00000144476
ACKR4	ENSG00000129048
ACLY	ENSG00000131473
ACMSD	ENSG00000153086
ACNATP	ENSG00000227411
ACO1	ENSG00000122729
ACO2	ENSG00000100412
ACOD1	ENSG00000102794
ACOT4	ENSG00000177465
ACOT6	ENSG00000205669
ACOT7	ENSG00000097021
ACOT8	ENSG00000101473
ACOT11	ENSG00000162390
ACOT12	ENSG00000172497
ACOT13	ENSG00000112304
ACOX1	ENSG00000161533
ACOX2	ENSG00000168306
ACOX3	ENSG00000087008
ACOXL	ENSG00000153093
ACOXL-AS1	ENSG00000204581
ACP1	ENSG00000143727
ACP2	ENSG00000134575
ACP6	ENSG00000162836
ACP7	ENSG00000183760
ACPP	ENSG00000014257
ACRBP	ENSG00000111644
ACRV1	ENSG00000134940
ACSBG1	ENSG00000103740
ACSBG2	ENSG00000130377
ACSF2	ENSG00000167107
ACSF3	ENSG00000176715
ACSL1	ENSG00000151726
ACSL3	ENSG00000123983
ACSL5	ENSG00000197142
ACSL6	ENSG00000164398
ACSM1	ENSG00000166743
ACSM2A	ENSG00000183747
ACSM2B	ENSG00000066813
ACSM3	ENSG00000005187
ACSM4	ENSG00000215009
ACSM5	ENSG00000183549
ACSM5P1	ENSG00000260762
ACSM6	ENSG00000173124
ACSS1	ENSG00000154930
ACSS2	ENSG00000131069
ACSS3	ENSG00000111058
ACTA2	ENSG00000107796
ACTA2-AS1	ENSG00000180139
ACTB	ENSG00000075624
ACTBL2	ENSG00000169067
ACTBP8	ENSG00000220267
ACTBP9	ENSG00000266920
ACTBP11	ENSG00000188460
ACTBP13	ENSG00000234667
ACTBP14	ENSG00000229001
ACTC1	ENSG00000159251
ACTG1P1	ENSG00000178631
ACTG1P9	ENSG00000229349
ACTG1P12	ENSG00000226642
ACTG1P13	ENSG00000241305
ACTG1P16	ENSG00000260298
ACTG1P17	ENSG00000259315
ACTG1P18	ENSG00000218475
ACTG1P19	ENSG00000237999
ACTG1P21	ENSG00000232672
ACTG1P22	ENSG00000271615
ACTG2	ENSG00000163017
ACTL6A	ENSG00000136518
ACTL7A	ENSG00000187003
ACTL7B	ENSG00000148156
ACTL8	ENSG00000117148
ACTL10	ENSG00000182584
ACTN1	ENSG00000072110
ACTN1-AS1	ENSG00000259062
ACTN2	ENSG00000077522
ACTN3	ENSG00000248746
ACTN4	ENSG00000130402
ACTN4P1	ENSG00000213493
ACTR1A	ENSG00000138107
ACTR1B	ENSG00000115073
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACTR3B	ENSG00000133627
ACTR3C	ENSG00000106526
ACTR5	ENSG00000101442
ACTR6	ENSG00000075089
ACTR8	ENSG00000113812
ACTRT2	ENSG00000169717
ACTRT3	ENSG00000184378
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ACVR1C	ENSG00000123612
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACVR2B-AS1	ENSG00000229589
ACYP1	ENSG00000119640
ACYP2	ENSG00000170634
ADA	ENSG00000196839
ADA2	ENSG00000093072
ADAD1	ENSG00000164113
ADAL	ENSG00000168803
ADAM1A	ENSG00000229186
ADAM2	ENSG00000104755
ADAM5	ENSG00000196115
ADAM7	ENSG00000069206
ADAM9	ENSG00000168615
ADAM10	ENSG00000137845
ADAM11	ENSG00000073670
ADAM12	ENSG00000148848
ADAM17	ENSG00000151694
ADAM18	ENSG00000168619
ADAM19	ENSG00000135074
ADAM20	ENSG00000134007
ADAM20P1	ENSG00000259158
ADAM21	ENSG00000139985
ADAM22	ENSG00000008277
ADAM23	ENSG00000114948
ADAM24P	ENSG00000214607
ADAM28	ENSG00000042980
ADAM29	ENSG00000168594
ADAM30	ENSG00000134249
ADAM32	ENSG00000197140
ADAM33	ENSG00000149451
ADAMDEC1	ENSG00000134028
ADAMTS2	ENSG00000087116
ADAMTS3	ENSG00000156140
ADAMTS4	ENSG00000158859
ADAMTS5	ENSG00000154736
ADAMTS6	ENSG00000049192
ADAMTS7	ENSG00000136378
ADAMTS7P3	ENSG00000261143
ADAMTS7P4	ENSG00000218052
ADAMTS8	ENSG00000134917
ADAMTS9	ENSG00000163638
ADAMTS9-AS1	ENSG00000241158
ADAMTS9-AS2	ENSG00000241684
ADAMTS12	ENSG00000151388
ADAMTS13	ENSG00000160323
ADAMTS14	ENSG00000138316
ADAMTS15	ENSG00000166106
ADAMTS16	ENSG00000145536
ADAMTS17	ENSG00000140470
ADAMTS18	ENSG00000140873
ADAMTS19	ENSG00000145808
ADAMTS20	ENSG00000173157
ADAMTSL1	ENSG00000178031
ADAMTSL3	ENSG00000156218
ADAMTSL4	ENSG00000143382
ADAMTSL4-AS1	ENSG00000203804
ADAP2	ENSG00000184060
ADAR	ENSG00000160710
ADARB1	ENSG00000197381
ADARB2	ENSG00000185736
ADARB2-AS1	ENSG00000205696
ADAT1	ENSG00000065457
ADAT2	ENSG00000189007
ADCK1	ENSG00000063761
ADCK2	ENSG00000133597
ADCY1	ENSG00000164742
ADCY2	ENSG00000078295
ADCY3	ENSG00000138031
ADCY4	ENSG00000129467
ADCY5	ENSG00000173175
ADCY7	ENSG00000121281
ADCY8	ENSG00000155897
ADCY9	ENSG00000162104
ADCY10	ENSG00000143199
ADCY10P1	ENSG00000161912
ADCYAP1	ENSG00000141433
ADCYAP1R1	ENSG00000078549
ADD1	ENSG00000087274
ADD2	ENSG00000075340
ADD3	ENSG00000148700
ADD3-AS1	ENSG00000203876
ADGB	ENSG00000118492
ADGRA1	ENSG00000197177
ADGRA2	ENSG00000020181
ADGRA3	ENSG00000152990
ADGRB1	ENSG00000181790
ADGRB2	ENSG00000121753
ADGRB3	ENSG00000135298
ADGRD1	ENSG00000111452
ADGRD2	ENSG00000180264
ADGRE1	ENSG00000174837
ADGRE2	ENSG00000127507
